TRACK,OFFSET,NEXTAGE,CYCLE,AU,IFM,ORIGIN,SILV_STATE,RETENTION
63,0,0,0,2901010,managed,natural,baseline,0.524995820799725
64,0,0,0,2901010,managed,planted,cc_pl,0.524995820799725
65,0,0,0,2903000,unmanaged,natural,baseline,0.524995820799725
66,0,0,0,2903000,managed,natural,baseline,0.524995820799725
67,0,0,0,2902000,unmanaged,planted,cc_pl,0.524995820799725
68,0,0,0,2903000,unmanaged,natural,baseline,0.0
69,0,0,0,2902008,unmanaged,natural,baseline,0.0
70,0,0,0,2903011,unmanaged,planted,cc_pl,0.0
71,0,0,0,2902000,unmanaged,natural,baseline,0.0
72,0,0,0,2902002,unmanaged,planted,cc_pl,0.0
73,0,0,0,2903008,unmanaged,natural,baseline,0.0
74,0,0,0,2903003,unmanaged,planted,cc_pl,0.0
75,0,0,0,2902011,unmanaged,planted,cc_pl,0.0
76,0,0,0,2903002,unmanaged,planted,cc_pl,0.0
77,0,0,0,2901002,unmanaged,planted,cc_pl,0.0
78,0,0,0,2902003,unmanaged,natural,baseline,0.524995820799726
79,0,0,0,2902003,managed,natural,baseline,0.524995820799726
80,0,0,0,2902003,managed,planted,cc_pl,0.524995820799726
81,0,0,0,2903003,unmanaged,natural,baseline,0.524995820799726
82,0,0,0,2903003,managed,natural,baseline,0.524995820799726
83,0,0,0,2903003,managed,planted,cc_pl,0.524995820799726
84,0,0,0,2901002,unmanaged,natural,baseline,0.524995820799726
85,0,0,0,2901002,managed,natural,baseline,0.524995820799726
86,0,0,0,2901002,managed,planted,cc_pl,0.524995820799726
87,0,0,0,2901003,unmanaged,natural,baseline,0.524995820799726
88,0,0,0,2901003,managed,natural,baseline,0.524995820799726
89,0,0,0,2901003,managed,planted,cc_pl,0.524995820799726
90,0,0,0,2903002,unmanaged,planted,cc_pl,0.524995820799726
91,0,0,0,2903002,managed,planted,cc_pl,0.524995820799726
92,0,0,0,2902008,unmanaged,natural,baseline,0.524995820799726
93,0,0,0,2902008,managed,natural,baseline,0.524995820799726
94,0,0,0,2902008,managed,planted,cc_pl,0.524995820799726
95,0,0,0,2901011,unmanaged,natural,baseline,0.524995820799726
96,0,0,0,2901011,managed,natural,baseline,0.524995820799726
97,0,0,0,2901011,managed,planted,cc_pl,0.524995820799726
98,0,0,0,2901008,unmanaged,natural,baseline,0.524995820799726
99,0,0,0,2901008,managed,natural,baseline,0.524995820799726
100,0,0,0,2901008,managed,planted,cc_pl,0.524995820799726
101,0,0,0,2902003,unmanaged,planted,cc_pl,0.524995820799726
102,0,0,0,2902002,unmanaged,planted,cc_pl,0.524995820799726
103,0,0,0,2902002,managed,planted,cc_pl,0.524995820799726
104,0,0,0,2902002,unmanaged,natural,baseline,0.524995820799726
105,0,0,0,2902002,managed,natural,baseline,0.524995820799726
106,0,0,0,2902011,unmanaged,planted,cc_pl,0.524995820799726
107,0,0,0,2902011,managed,planted,cc_pl,0.524995820799726
108,0,0,0,2901002,unmanaged,planted,cc_pl,0.524995820799726
109,0,0,0,2903003,unmanaged,planted,cc_pl,0.524995820799726
110,0,0,0,2903011,unmanaged,planted,cc_pl,0.524995820799726
111,0,0,0,2903011,managed,planted,cc_pl,0.524995820799726
112,0,0,0,2901011,unmanaged,planted,cc_pl,0.524995820799726
113,0,0,0,2902011,unmanaged,natural,baseline,0.524995820799726
114,0,0,0,2902011,managed,natural,baseline,0.524995820799726
115,0,0,0,2901003,unmanaged,planted,cc_pl,0.524995820799726
116,0,0,0,2903011,unmanaged,natural,baseline,0.524995820799726
117,0,0,0,2903011,managed,natural,baseline,0.524995820799726
118,0,0,0,2903002,unmanaged,natural,baseline,0.524995820799726
119,0,0,0,2903002,managed,natural,baseline,0.524995820799726
120,0,0,0,2902000,unmanaged,planted,cc_pl,0.524995820799726
121,0,0,0,2902000,managed,planted,cc_pl,0.524995820799726
122,0,0,0,2902005,unmanaged,planted,cc_pl,0.524995820799726
123,0,0,0,2902005,managed,planted,cc_pl,0.524995820799726
124,0,0,0,2903000,unmanaged,planted,cc_pl,0.524995820799726
125,0,0,0,2903000,managed,planted,cc_pl,0.524995820799726
126,0,0,0,2902000,unmanaged,natural,baseline,0.524995820799726
127,0,0,0,2902000,managed,natural,baseline,0.524995820799726
128,0,0,0,2903008,unmanaged,natural,baseline,0.524995820799726
129,0,0,0,2903008,managed,natural,baseline,0.524995820799726
130,0,0,0,2903008,managed,planted,cc_pl,0.524995820799726
131,0,0,0,2901011,unmanaged,planted,cc_pl,0.0
132,0,0,0,2902003,unmanaged,planted,cc_pl,0.0
133,0,0,0,2902003,unmanaged,planted,cc_pl,0.524995820799725
134,0,0,0,2901011,unmanaged,planted,cc_pl,0.524995820799725
135,0,0,0,2901003,unmanaged,planted,cc_pl,0.524995820799725
136,0,0,0,2903010,unmanaged,planted,cc_pl,0.524995820799725
137,0,0,0,2902010,unmanaged,natural,baseline,0.0
138,0,0,0,2902005,unmanaged,natural,baseline,0.524995820799725
139,0,0,0,2902005,managed,natural,baseline,0.524995820799725
140,0,0,0,2902005,managed,planted,cc_pl,0.524995820799725
141,0,0,0,2901000,unmanaged,planted,cc_pl,0.524995820799725
142,0,0,0,2901000,managed,planted,cc_pl,0.524995820799725
143,0,0,0,2902008,unmanaged,planted,cc_pl,0.524995820799725
144,0,0,0,2902008,unmanaged,planted,cc_pl,0.0
145,0,0,0,2903000,unmanaged,planted,cc_pl,0.0
146,0,0,0,2901003,unmanaged,planted,cc_pl,0.0
147,0,0,0,2901000,unmanaged,planted,cc_pl,0.0
148,0,0,0,2903010,unmanaged,natural,baseline,0.0
149,0,0,0,2903005,unmanaged,natural,baseline,0.0
150,0,0,0,2902005,unmanaged,planted,cc_pl,0.524995820799725
151,0,0,0,2902010,unmanaged,natural,baseline,0.524995820799725
152,0,0,0,2902010,managed,natural,baseline,0.524995820799725
153,0,0,0,2902010,managed,planted,cc_pl,0.524995820799725
154,0,0,0,2903005,unmanaged,planted,cc_pl,0.524995820799725
155,0,0,0,2903005,managed,planted,cc_pl,0.524995820799725
156,0,0,0,2901005,unmanaged,natural,baseline,0.0
157,0,0,0,2902005,unmanaged,natural,baseline,0.0
158,0,0,0,2903008,unmanaged,planted,cc_pl,0.0
159,0,0,0,2901010,unmanaged,natural,baseline,0.0
160,0,0,0,2902005,unmanaged,planted,cc_pl,0.0
161,0,0,0,2902000,unmanaged,planted,cc_pl,0.0
162,0,0,0,2903010,unmanaged,planted,cc_pl,0.0
163,0,0,0,2903008,unmanaged,planted,cc_pl,0.524995820799725
164,0,0,0,2902008,unmanaged,planted,cc_pl,0.524995820799726
